"n","est_b","est_g","est_c","ll_true","ll_est","runtime_s"
2500,1.91458645661965,2.99027637926558,4.0269055242871,-4307.08006476402,-4303.85250362909,4.79326581954956
1000,1.93861517809363,2.98249342442274,4.01856949310812,-1707.27625053483,-1706.56968348104,3.8830087184906
500,1.92411375721913,2.86687174506949,4.08386439200609,-841.078440985161,-840.498383383145,3.81700253486633
100,2.81005825567052,3.45249182308093,3.63052160739268,-161.222140177297,-157.957309970197,3.69281983375549
