"n","est_b","est_g","est_c","ll_true","ll_est","runtime_s"
2500,3.03025250552764,1.98036666396431,5.00490082957574,-2410.59338922104,-2409.31703087544,5.96628570556641
1000,2.74403993357997,1.89842186629591,5.10150981516757,-1004.06306146394,-1002.58474707492,5.53296279907227
500,2.89431090360931,1.80292606801874,5.15953736280182,-454.143323665981,-449.883639940995,3.73013639450073
100,4.54194012617778,2.57441408390508,4.54278378881909,-91.808994147181,-88.5177757392923,4.21323943138123
