"n","est_b","est_g","est_c","ll_true","ll_est","runtime_s"
2500,1.99922514244556,2.00020411467826,1.9966432288261,-3225.48851975164,-3225.46622264257,5.73215413093567
1000,1.93454999362842,1.93463498266727,2.02149866583557,-1282.3761267128,-1281.36642237289,4.27017998695374
500,2.1000355778317,2.06422739296157,2.01921398594647,-643.251593885052,-640.8262999449,4.26356530189514
100,1.89016302744055,1.90340774359877,2.04174164998054,-127.449269929777,-127.260769405527,4.85268902778625
